Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.4883133;47.2670044;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.4936417;47.2827608;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.4314586;47.2876331;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.4489451;47.2791686;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.4676114;47.3155104;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.5348601;47.2423596;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.5500091;47.2261574;de
Hedingen;8908;0;Hedingen;5;ZH;8.4503469;47.2979377;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.5248498;47.2273670;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.4953541;47.2303874;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.4993818;47.2220332;de
Knonau;8934;0;Knonau;7;ZH;8.4606166;47.2237941;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.4262739;47.2352408;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.4637698;47.2427992;de
Obfelden;8912;0;Obfelden;10;ZH;8.4230450;47.2636269;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.4043446;47.2827713;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.4965289;47.2434780;de
Stallikon;8143;0;Stallikon;13;ZH;8.4909971;47.3258643;de
Uetliberg;8143;2;Stallikon;13;ZH;8.4913449;47.3494790;de
Wettswil;8907;0;Wettswil am Albis;14;ZH;8.4749624;47.3380201;de
Adlikon b. Andelfingen;8452;0;Adlikon;21;ZH;8.6935763;47.5808715;de
Benken ZH;8463;0;Benken (ZH);22;ZH;8.6540192;47.6527390;de
Berg am Irchel;8415;0;Berg am Irchel;23;ZH;8.5981575;47.5704622;de
Gräslikon;8415;1;Berg am Irchel;23;ZH;8.6052946;47.5573204;de
Buch am Irchel;8414;0;Buch am Irchel;24;ZH;8.6225893;47.5490041;de
Dachsen;8447;0;Dachsen;25;ZH;8.6138626;47.6669723;de
Dorf;8458;0;Dorf;26;ZH;8.6479816;47.5716862;de
Feuerthalen;8245;0;Feuerthalen;27;ZH;8.6410445;47.6909483;de
Langwiesen;8246;0;Feuerthalen;27;ZH;8.6632601;47.6839836;de
Flaach;8416;0;Flaach;28;ZH;8.6028526;47.5733345;de
Flurlingen;8247;0;Flurlingen;29;ZH;8.6278680;47.6841708;de
Andelfingen;8450;0;Andelfingen;30;ZH;8.6785203;47.5948822;de
Henggart;8444;0;Henggart;31;ZH;8.6833141;47.5627039;de
Humlikon;8457;0;Humlikon;32;ZH;8.6695747;47.5756287;de
Kleinandelfingen;8451;0;Kleinandelfingen;33;ZH;8.6829909;47.5995284;de
Alten;8453;0;Kleinandelfingen;33;ZH;8.6474601;47.5994255;de
Oerlingen;8461;0;Kleinandelfingen;33;ZH;8.6762498;47.6239841;de
Nohl;8212;4;Laufen-Uhwiesen;34;ZH;8.6078443;47.6699444;de
Uhwiesen;8248;0;Laufen-Uhwiesen;34;ZH;8.6343687;47.6710784;de
Marthalen;8460;0;Marthalen;35;ZH;8.6484088;47.6252057;de
Ellikon am Rhein;8464;0;Marthalen;35;ZH;8.5974055;47.6054856;de
Ossingen;8475;0;Ossingen;37;ZH;8.7257644;47.6103401;de
Rheinau;8462;0;Rheinau;38;ZH;8.6033848;47.6439442;de
Thalheim an der Thur;8478;0;Thalheim an der Thur;39;ZH;8.7543363;47.5789726;de
Rudolfingen;8465;0;Trüllikon;40;ZH;8.6734172;47.6403617;de
Wildensbuch;8465;1;Trüllikon;40;ZH;8.6794438;47.6505142;de
Trüllikon;8466;0;Trüllikon;40;ZH;8.6922473;47.6372694;de
Truttikon;8467;0;Truttikon;41;ZH;8.7265146;47.6301287;de
Volken;8459;0;Volken;43;ZH;8.6290022;47.5728388;de
Bachenbülach;8184;0;Bachenbülach;51;ZH;8.5464302;47.5035692;de
Bassersdorf;8303;0;Bassersdorf;52;ZH;8.6278388;47.4443085;de
Bülach;8180;0;Bülach;53;ZH;8.5408636;47.5170710;de
Dietlikon;8305;0;Dietlikon;54;ZH;8.6157817;47.4255286;de
Eglisau;8193;0;Eglisau;55;ZH;8.5260379;47.5751800;de
Embrach;8424;0;Embrach;56;ZH;8.5952171;47.5012284;de
Freienstein;8427;2;Freienstein-Teufen;57;ZH;8.5908539;47.5326147;de
Teufen ZH;8428;0;Freienstein-Teufen;57;ZH;8.5673847;47.5498910;de
Glattfelden;8192;0;Glattfelden;58;ZH;8.4989448;47.5588097;de
Zweidlen;8192;1;Glattfelden;58;ZH;8.4666628;47.5609235;de
Hochfelden;8182;0;Hochfelden;59;ZH;8.5154701;47.5233584;de
Höri;8181;0;Höri;60;ZH;8.5084407;47.5074239;de
Hüntwangen;8194;0;Hüntwangen;61;ZH;8.4929158;47.5954495;de
Kloten;8302;0;Kloten;62;ZH;8.5843702;47.4525305;de
Lufingen;8426;0;Lufingen;63;ZH;8.5936672;47.4904000;de
Nürensdorf;8309;0;Nürensdorf;64;ZH;8.6492066;47.4479759;de
Oberembrach;8425;0;Oberembrach;65;ZH;8.6174278;47.4874072;de
Glattbrugg;8152;0;Opfikon;66;ZH;8.5681881;47.4338363;de
Opfikon;8152;1;Opfikon;66;ZH;8.5774233;47.4322127;de
Glattpark (Opfikon);8152;2;Opfikon;66;ZH;8.5616753;47.4232475;de
Rafz;8197;0;Rafz;67;ZH;8.5349885;47.6143894;de
Rorbas;8427;3;Rorbas;68;ZH;8.5781192;47.5289800;de
Wallisellen;8304;0;Wallisellen;69;ZH;8.5917945;47.4126764;de
Wasterkingen;8195;0;Wasterkingen;70;ZH;8.4726119;47.5901267;de
Wil ZH;8196;0;Wil (ZH);71;ZH;8.5034955;47.6026831;de
Winkel;8185;0;Winkel;72;ZH;8.5544773;47.4925004;de
Bachs;8164;0;Bachs;81;ZH;8.4390700;47.5250590;de
Boppelsen;8113;0;Boppelsen;82;ZH;8.4025936;47.4705342;de
Buchs ZH;8107;0;Buchs (ZH);83;ZH;8.4381254;47.4588115;de
Dällikon;8108;0;Dällikon;84;ZH;8.4393841;47.4399316;de
Dänikon ZH;8114;0;Dänikon;85;ZH;8.4054052;47.4459431;de
Dielsdorf;8157;0;Dielsdorf;86;ZH;8.4535546;47.4841919;de
Hüttikon;8115;0;Hüttikon;87;ZH;8.3871685;47.4460884;de
Neerach;8173;0;Neerach;88;ZH;8.4745212;47.5134858;de
Niederglatt ZH;8172;0;Niederglatt;89;ZH;8.5035160;47.4874635;de
Niederhasli;8155;0;Niederhasli;90;ZH;8.4838115;47.4823249;de
Nassenwil;8155;1;Niederhasli;90;ZH;8.4714686;47.4657624;de
Oberhasli;8156;0;Niederhasli;90;ZH;8.4982825;47.4654193;de
Niederweningen;8166;0;Niederweningen;91;ZH;8.3689803;47.5041412;de
Oberglatt ZH;8154;0;Oberglatt;92;ZH;8.5207265;47.4766314;de
Oberweningen;8165;2;Oberweningen;93;ZH;8.4073619;47.5037726;de
Otelfingen;8112;0;Otelfingen;94;ZH;8.3871275;47.4619059;de
Regensberg;8158;0;Regensberg;95;ZH;8.4388120;47.4831497;de
Regensdorf;8105;0;Regensdorf;96;ZH;8.4655873;47.4306851;de
Watt;8105;2;Regensdorf;96;ZH;8.4812972;47.4428134;de
Adlikon b. Regensdorf;8106;2;Regensdorf;96;ZH;8.4664981;47.4481390;de
Rümlang;8153;0;Rümlang;97;ZH;8.5327006;47.4516926;de
Schleinikon;8165;3;Schleinikon;98;ZH;8.3915065;47.4980926;de
Schöfflisdorf;8165;0;Schöfflisdorf;99;ZH;8.4168813;47.5000633;de
Stadel b. Niederglatt;8174;0;Stadel;100;ZH;8.4660771;47.5271434;de
Windlach;8175;0;Stadel;100;ZH;8.4749698;47.5411499;de
Steinmaur;8162;0;Steinmaur;101;ZH;8.4556694;47.4991209;de
Sünikon;8162;1;Steinmaur;101;ZH;8.4359050;47.4907040;de
Weiach;8187;0;Weiach;102;ZH;8.4379031;47.5576207;de
Bäretswil;8344;0;Bäretswil;111;ZH;8.8557785;47.3375353;de
Adetswil;8345;0;Bäretswil;111;ZH;8.8404096;47.3405206;de
Bubikon;8608;0;Bubikon;112;ZH;8.8172255;47.2690093;de
Wolfhausen;8633;0;Bubikon;112;ZH;8.8000873;47.2565581;de
Tann;8632;0;Dürnten;113;ZH;8.8515520;47.2635466;de
Dürnten;8635;0;Dürnten;113;ZH;8.8431860;47.2781374;de
Steg im Tösstal;8496;0;Fischenthal;114;ZH;8.9323540;47.3539127;de
Fischenthal;8497;0;Fischenthal;114;ZH;8.9193226;47.3314732;de
Gibswil;8498;0;Fischenthal;114;ZH;8.9152888;47.3139501;de
Bertschikon (Gossau ZH);8614;0;Gossau (ZH);115;ZH;8.7572878;47.3209530;de
Grüt (Gossau ZH);8624;0;Gossau (ZH);115;ZH;8.7820109;47.3110483;de
Gossau ZH;8625;0;Gossau (ZH);115;ZH;8.7627034;47.3010448;de
Ottikon (Gossau ZH);8626;0;Gossau (ZH);115;ZH;8.7793742;47.2964892;de
Grüningen;8627;0;Grüningen;116;ZH;8.7619229;47.2847988;de
Hinwil;8340;0;Hinwil;117;ZH;8.8472086;47.3011821;de
Wernetshausen;8342;0;Hinwil;117;ZH;8.8664444;47.2989719;de
Rüti ZH;8630;0;Rüti (ZH);118;ZH;8.8491603;47.2591095;de
Aathal-Seegräben;8607;0;Seegräben;119;ZH;8.7696250;47.3394469;de
Wald ZH;8636;0;Wald (ZH);120;ZH;8.9159502;47.2770472;de
Laupen ZH;8637;0;Wald (ZH);120;ZH;8.9283143;47.2651098;de
Wetzikon ZH;8620;0;Wetzikon (ZH);121;ZH;8.8063752;47.3223881;de
Wetzikon ZH;8623;0;Wetzikon (ZH);121;ZH;8.8214122;47.3323260;de
Adliswil;8134;0;Adliswil;131;ZH;8.5223153;47.3128410;de
Kilchberg ZH;8802;0;Kilchberg (ZH);135;ZH;8.5428368;47.3204176;de
Langnau am Albis;8135;0;Langnau am Albis;136;ZH;8.5345833;47.2882444;de
Oberrieden;8942;0;Oberrieden;137;ZH;8.5767004;47.2770143;de
Richterswil;8805;0;Richterswil;138;ZH;8.7009559;47.2082607;de
Samstagern;8833;0;Richterswil;138;ZH;8.6783402;47.1945846;de
Rüschlikon;8803;0;Rüschlikon;139;ZH;8.5548942;47.3093244;de
Gattikon;8136;0;Thalwil;141;ZH;8.5505839;47.2846203;de
Thalwil;8800;0;Thalwil;141;ZH;8.5691642;47.2902231;de
Erlenbach ZH;8703;0;Erlenbach (ZH);151;ZH;8.5915941;47.3022968;de
Herrliberg;8704;0;Herrliberg;152;ZH;8.6168832;47.2851972;de
Hombrechtikon;8634;0;Hombrechtikon;153;ZH;8.7638718;47.2529752;de
Feldbach;8714;0;Hombrechtikon;153;ZH;8.7821589;47.2389089;de
Forch;8127;0;Küsnacht (ZH);154;ZH;8.6482374;47.3253983;de
Küsnacht ZH;8700;0;Küsnacht (ZH);154;ZH;8.5835383;47.3168722;de
Männedorf;8708;0;Männedorf;155;ZH;8.6938275;47.2546979;de
Meilen;8706;0;Meilen;156;ZH;8.6399004;47.2680907;de
Oetwil am See;8618;0;Oetwil am See;157;ZH;8.7232208;47.2701873;de
Stäfa;8712;0;Stäfa;158;ZH;8.7310443;47.2389507;de
Uerikon;8713;0;Stäfa;158;ZH;8.7567486;47.2345699;de
Uetikon am See;8707;0;Uetikon am See;159;ZH;8.6769215;47.2618241;de
Zumikon;8126;0;Zumikon;160;ZH;8.6232779;47.3314033;de
Zollikerberg;8125;0;Zollikon;161;ZH;8.6022616;47.3480068;de
Zollikon;8702;0;Zollikon;161;ZH;8.5741794;47.3382749;de
Fehraltorf;8320;0;Fehraltorf;172;ZH;8.7522770;47.3871280;de
Hittnau;8335;0;Hittnau;173;ZH;8.8241016;47.3609269;de
Kemptthal;8310;0;Lindau;176;ZH;8.7056880;47.4528117;de
Grafstal;8310;1;Lindau;176;ZH;8.6982168;47.4438703;de
Winterberg ZH;8312;0;Lindau;176;ZH;8.6920871;47.4565529;de
Lindau;8315;0;Lindau;176;ZH;8.6706478;47.4418631;de
Tagelswangen;8317;0;Lindau;176;ZH;8.6718446;47.4304157;de
Pfäffikon ZH;8330;0;Pfäffikon;177;ZH;8.7811020;47.3652262;de
Auslikon;8331;0;Pfäffikon;177;ZH;8.8069056;47.3455049;de
Madetswil;8322;0;Russikon;178;ZH;8.7914397;47.4101681;de
Gündisau;8322;2;Russikon;178;ZH;8.8074463;47.3980204;de
Russikon;8332;0;Russikon;178;ZH;8.7737907;47.3962084;de
Rumlikon;8332;2;Russikon;178;ZH;8.7597241;47.4092969;de
Weisslingen;8484;0;Weisslingen;180;ZH;8.7651256;47.4334350;de
Neschwil;8484;2;Weisslingen;180;ZH;8.7882306;47.4302083;de
Theilingen;8484;3;Weisslingen;180;ZH;8.7677770;47.4211107;de
Wila;8492;0;Wila;181;ZH;8.8458327;47.4194157;de
Wildberg;8489;0;Wildberg;182;ZH;8.8166818;47.4275141;de
Schalchen;8489;1;Wildberg;182;ZH;8.8262161;47.4069232;de
Ehrikon;8489;2;Wildberg;182;ZH;8.8090249;47.4189484;de
Gockhausen;8044;1;Dübendorf;191;ZH;8.6024760;47.3833359;de
Dübendorf;8600;0;Dübendorf;191;ZH;8.6180521;47.3950803;de
Egg b. Zürich;8132;0;Egg;192;ZH;8.6914472;47.3006542;de
Hinteregg;8132;2;Egg;192;ZH;8.6842434;47.3059415;de
Esslingen;8133;0;Egg;192;ZH;8.7096458;47.2883552;de
Fällanden;8117;0;Fällanden;193;ZH;8.6383584;47.3705289;de
Pfaffhausen;8118;0;Fällanden;193;ZH;8.6232471;47.3657370;de
Benglen;8121;0;Fällanden;193;ZH;8.6373240;47.3611732;de
Greifensee;8606;2;Greifensee;194;ZH;8.6769801;47.3649849;de
Binz;8122;0;Maur;195;ZH;8.6270673;47.3567446;de
Ebmatingen;8123;0;Maur;195;ZH;8.6399721;47.3514759;de
Maur;8124;0;Maur;195;ZH;8.6728447;47.3378100;de
Mönchaltorf;8617;0;Mönchaltorf;196;ZH;8.7219752;47.3101561;de
Schwerzenbach;8603;0;Schwerzenbach;197;ZH;8.6521316;47.3797945;de
Nänikon;8606;0;Uster;198;ZH;8.6933854;47.3701820;de
Uster;8610;0;Uster;198;ZH;8.7169008;47.3458531;de
Sulzbach;8614;2;Uster;198;ZH;8.7467151;47.3289611;de
Wermatswil;8615;0;Uster;198;ZH;8.7459337;47.3621052;de
Freudwil;8615;2;Uster;198;ZH;8.7340966;47.3747370;de
Riedikon;8616;0;Uster;198;ZH;8.7115281;47.3325268;de
Volketswil;8604;0;Volketswil;199;ZH;8.6914225;47.3890550;de
Gutenswil;8605;0;Volketswil;199;ZH;8.7179841;47.3851456;de
Brüttisellen;8306;0;Wangen-Brüttisellen;200;ZH;8.6297415;47.4232224;de
Wangen b. Dübendorf;8602;0;Wangen-Brüttisellen;200;ZH;8.6464583;47.4094629;de
Altikon;8479;0;Altikon;211;ZH;8.7845049;47.5752400;de
Brütten;8311;0;Brütten;213;ZH;8.6742222;47.4740898;de
Rutschwil (Dägerlen);8471;0;Dägerlen;214;ZH;8.7327003;47.5578381;de
Dägerlen;8471;2;Dägerlen;214;ZH;8.7185511;47.5609644;de
Oberwil (Dägerlen);8471;3;Dägerlen;214;ZH;8.7166220;47.5725901;de
Berg (Dägerlen);8471;4;Dägerlen;214;ZH;8.7331750;47.5637188;de
Bänk (Dägerlen);8471;5;Dägerlen;214;ZH;8.7409508;47.5491423;de
Dättlikon;8421;0;Dättlikon;215;ZH;8.6241687;47.5248828;de
Dinhard;8474;0;Dinhard;216;ZH;8.7682906;47.5552043;de
Ellikon an der Thur;8548;0;Ellikon an der Thur;218;ZH;8.8254122;47.5620167;de
Elsau;8352;0;Elsau;219;ZH;8.8025179;47.5061537;de
Hagenbuch ZH;8523;0;Hagenbuch;220;ZH;8.8878352;47.5210167;de
Hettlingen;8442;0;Hettlingen;221;ZH;8.7081188;47.5483818;de
Aesch (Neftenbach);8412;0;Neftenbach;223;ZH;8.6793653;47.5412752;de
Riet (Neftenbach);8412;1;Neftenbach;223;ZH;8.6868270;47.5364603;de
Hünikon (Neftenbach);8412;2;Neftenbach;223;ZH;8.6682143;47.5521431;de
Neftenbach;8413;0;Neftenbach;223;ZH;8.6678246;47.5285589;de
Pfungen;8422;0;Pfungen;224;ZH;8.6465365;47.5158783;de
Rickenbach ZH;8545;0;Rickenbach (ZH);225;ZH;8.7938938;47.5514472;de
Rickenbach Sulz;8545;1;Rickenbach (ZH);225;ZH;8.7878778;47.5406969;de
Schlatt ZH;8418;0;Schlatt (ZH);226;ZH;8.8259617;47.4679548;de
Seuzach;8472;0;Seuzach;227;ZH;8.7383676;47.5362345;de
Turbenthal;8488;0;Turbenthal;228;ZH;8.8473887;47.4351627;de
Schmidrüti;8495;0;Turbenthal;228;ZH;8.9034163;47.4148131;de
Ricketwil (Winterthur);8352;2;Winterthur;230;ZH;8.8009391;47.4859331;de
Winterthur;8400;0;Winterthur;230;ZH;8.7295488;47.4916219;de
Winterthur;8404;0;Winterthur;230;ZH;8.7592230;47.5074751;de
Reutlingen (Winterthur);8404;2;Winterthur;230;ZH;8.7513339;47.5279525;de
Stadel (Winterthur);8404;3;Winterthur;230;ZH;8.7614690;47.5345450;de
Winterthur;8405;0;Winterthur;230;ZH;8.7782696;47.4775495;de
Winterthur;8406;0;Winterthur;230;ZH;8.7006258;47.4832246;de
Winterthur;8408;0;Winterthur;230;ZH;8.6833422;47.5077395;de
Winterthur;8409;0;Winterthur;230;ZH;8.7814559;47.5098251;de
Sennhof (Winterthur);8482;0;Winterthur;230;ZH;8.7580219;47.4691660;de
Kollbrunn;8483;0;Zell (ZH);231;ZH;8.7766255;47.4572967;de
Rikon im Tösstal;8486;0;Zell (ZH);231;ZH;8.7967734;47.4447245;de
Zell ZH;8487;0;Zell (ZH);231;ZH;8.8226976;47.4485247;de
Rämismühle;8487;1;Zell (ZH);231;ZH;8.8190824;47.4415730;de
Aesch ZH;8904;0;Aesch (ZH);241;ZH;8.4382402;47.3373573;de
Birmensdorf ZH;8903;0;Birmensdorf (ZH);242;ZH;8.4411769;47.3516652;de
Dietikon;8953;0;Dietikon;243;ZH;8.4037294;47.4049142;de
Fahrweid;8951;0;Geroldswil;244;ZH;8.4154937;47.4104184;de
Geroldswil;8954;0;Geroldswil;244;ZH;8.4103762;47.4224351;de
Oberengstringen;8102;0;Oberengstringen;245;ZH;8.4623596;47.4083740;de
Oetwil an der Limmat;8955;0;Oetwil an der Limmat;246;ZH;8.3949953;47.4281560;de
Schlieren;8952;0;Schlieren;247;ZH;8.4457890;47.3966049;de
Uitikon Waldegg;8142;0;Uitikon;248;ZH;8.4539794;47.3708516;de
Unterengstringen;8103;0;Unterengstringen;249;ZH;8.4494492;47.4133260;de
Urdorf;8902;0;Urdorf;250;ZH;8.4237553;47.3826654;de
Weiningen ZH;8104;0;Weiningen (ZH);251;ZH;8.4359841;47.4206319;de
Zürich;8001;0;Zürich;261;ZH;8.5413644;47.3727799;de
Zürich;8002;0;Zürich;261;ZH;8.5314691;47.3605185;de
Zürich;8003;0;Zürich;261;ZH;8.5161421;47.3725786;de
Zürich;8004;0;Zürich;261;ZH;8.5233702;47.3780022;de
Zürich;8005;0;Zürich;261;ZH;8.5206841;47.3867663;de
Zürich;8006;0;Zürich;261;ZH;8.5431747;47.3857657;de
Zürich;8008;0;Zürich;261;ZH;8.5629915;47.3559064;de
Zürich;8032;0;Zürich;261;ZH;8.5644387;47.3666888;de
Zürich;8037;0;Zürich;261;ZH;8.5242618;47.3984949;de
Zürich;8038;0;Zürich;261;ZH;8.5320835;47.3407945;de
Zürich;8041;0;Zürich;261;ZH;8.5156643;47.3360596;de
Zürich;8044;0;Zürich;261;ZH;8.5728303;47.3804149;de
Zürich;8045;0;Zürich;261;ZH;8.5057104;47.3516152;de
Zürich;8046;0;Zürich;261;ZH;8.5082787;47.4221774;de
Zürich;8047;0;Zürich;261;ZH;8.4870218;47.3738923;de
Zürich;8048;0;Zürich;261;ZH;8.4838711;47.3867468;de
Zürich;8049;0;Zürich;261;ZH;8.5004667;47.4086984;de
Zürich;8050;0;Zürich;261;ZH;8.5508020;47.4119380;de
Zürich;8051;0;Zürich;261;ZH;8.5788193;47.3996510;de
Zürich;8052;0;Zürich;261;ZH;8.5406359;47.4244508;de
Zürich;8053;0;Zürich;261;ZH;8.5974187;47.3612897;de
Zürich;8055;0;Zürich;261;ZH;8.4902921;47.3641888;de
Zürich;8057;0;Zürich;261;ZH;8.5473926;47.3999258;de
Zürich;8064;0;Zürich;261;ZH;8.4852473;47.3986576;de
Waltalingen;8468;0;Stammheim;292;ZH;8.7789179;47.6224854;de
Guntalingen;8468;2;Stammheim;292;ZH;8.7691942;47.6346740;de
Unterstammheim;8476;0;Stammheim;292;ZH;8.7923296;47.6408360;de
Oberstammheim;8477;0;Stammheim;292;ZH;8.8011469;47.6340156;de
Wilen b. Neunforn;8525;2;Stammheim;292;ZH;8.7971702;47.6025799;de
Au ZH;8804;0;Wädenswil;293;ZH;8.6429753;47.2469903;de
Wädenswil;8820;0;Wädenswil;293;ZH;8.6717442;47.2284723;de
Schönenberg ZH;8824;0;Wädenswil;293;ZH;8.6450400;47.1929050;de
Hütten;8825;0;Wädenswil;293;ZH;8.6690113;47.1756514;de
Elgg;8353;0;Elgg;294;ZH;8.8675767;47.4901819;de
Hofstetten ZH;8354;0;Elgg;294;ZH;8.8537186;47.4731044;de
Dickbuch;8354;1;Elgg;294;ZH;8.8316504;47.4963974;de
Sihlbrugg Station;8135;2;Horgen;295;ZH;8.5772061;47.2391945;de
Sihlwald;8135;3;Horgen;295;ZH;8.5575188;47.2682847;de
Horgen;8810;0;Horgen;295;ZH;8.5973856;47.2595241;de
Horgenberg;8815;0;Horgen;295;ZH;8.5838944;47.2478642;de
Hirzel;8816;0;Horgen;295;ZH;8.6066695;47.2170262;de
Effretikon;8307;0;Illnau-Effretikon;296;ZH;8.6894831;47.4281528;de
Ottikon b. Kemptthal;8307;2;Illnau-Effretikon;296;ZH;8.7168773;47.4346815;de
Illnau;8308;0;Illnau-Effretikon;296;ZH;8.7226245;47.4089597;de
Agasul;8308;2;Illnau-Effretikon;296;ZH;8.7433282;47.4251885;de
Kyburg;8314;0;Illnau-Effretikon;296;ZH;8.7446901;47.4577824;de
Saland;8493;0;Bauma;297;ZH;8.8534813;47.3911160;de
Bauma;8494;0;Bauma;297;ZH;8.8772438;47.3672887;de
Sternenberg;8499;0;Bauma;297;ZH;8.9117537;47.3873026;de
Wiesendangen;8542;0;Wiesendangen;298;ZH;8.7895156;47.5212601;de
Bertschikon;8543;0;Wiesendangen;298;ZH;8.8145082;47.5268056;de
Gundetswil;8543;1;Wiesendangen;298;ZH;8.8223370;47.5398472;de
Kefikon ZH;8543;2;Wiesendangen;298;ZH;8.8310167;47.5488903;de
Attikon;8544;0;Wiesendangen;298;ZH;8.7979620;47.5358735;de
Menzengrüt;8546;3;Wiesendangen;298;ZH;8.8218510;47.5496496;de
Aarberg;3270;0;Aarberg;301;BE;7.2752975;47.0435455;de
Bargen BE;3282;0;Bargen (BE);302;BE;7.2573011;47.0401579;de
Grossaffoltern;3257;0;Grossaffoltern;303;BE;7.3656581;47.0662538;de
Ammerzwil BE;3257;1;Grossaffoltern;303;BE;7.3396687;47.0699942;de
Suberg;3262;0;Grossaffoltern;303;BE;7.3354300;47.0616494;de
Golaten;3207;2;Kallnach;304;BE;7.2422612;46.9857088;de
Kallnach;3283;0;Kallnach;304;BE;7.2299767;47.0178077;de
Niederried b. Kallnach;3283;2;Kallnach;304;BE;7.2523801;47.0105418;de
Kappelen;3273;0;Kappelen;305;BE;7.2675810;47.0601956;de
Lyss;3250;0;Lyss;306;BE;7.3075071;47.0705806;de
Busswil BE;3292;0;Lyss;306;BE;7.3224328;47.1005969;de
Ortschwaben;3042;0;Meikirch;307;BE;7.4018944;46.9905877;de
Meikirch;3045;0;Meikirch;307;BE;7.3626448;47.0093468;de
Wahlendorf;3046;0;Meikirch;307;BE;7.3378392;47.0077176;de
Detligen;3036;0;Radelfingen;309;BE;7.2727896;47.0017395;de
Radelfingen b. Aarberg;3271;0;Radelfingen;309;BE;7.2690563;47.0218621;de
Lätti;3053;5;Rapperswil (BE);310;BE;7.4302431;47.0394795;de
Ruppoldsried;3251;2;Rapperswil (BE);310;BE;7.4254665;47.0880935;de
Rapperswil BE;3255;0;Rapperswil (BE);310;BE;7.4099424;47.0631380;de
Dieterswil;3256;0;Rapperswil (BE);310;BE;7.4250286;47.0552095;de
Bangerten b. Dieterswil;3256;2;Rapperswil (BE);310;BE;7.4476528;47.0567309;de
Seewil;3256;3;Rapperswil (BE);310;BE;7.4088837;47.0480619;de
Schüpfen;3054;0;Schüpfen;311;BE;7.3767965;47.0382130;de
Frieswil;3035;0;Seedorf (BE);312;BE;7.2854738;46.9949317;de
Wiler b. Seedorf;3266;0;Seedorf (BE);312;BE;7.3199656;47.0485379;de
Seedorf BE;3267;0;Seedorf (BE);312;BE;7.3110991;47.0342201;de
Lobsigen;3268;0;Seedorf (BE);312;BE;7.2935862;47.0268033;de
Aarwangen;4912;0;Aarwangen;321;BE;7.7696172;47.2408741;de
Auswil;4944;0;Auswil;322;BE;7.8326757;47.1346629;de
Bannwil;4913;0;Bannwil;323;BE;7.7299471;47.2374087;de
Bleienbach;3368;0;Bleienbach;324;BE;7.7576979;47.1845656;de
Busswil b. Melchnau;4917;2;Busswil bei Melchnau;325;BE;7.8279695;47.1860879;de
Gondiswil;4955;0;Gondiswil;326;BE;7.8719325;47.1462398;de
Langenthal;4900;0;Langenthal;329;BE;7.7924879;47.2115914;de
Untersteckholz;4916;0;Langenthal;329;BE;7.8467294;47.2049668;de
Lotzwil;4932;0;Lotzwil;331;BE;7.7883218;47.1897359;de
Gutenburg;4932;2;Madiswil;332;BE;7.7955158;47.1815796;de
Madiswil;4934;0;Madiswil;332;BE;7.7993962;47.1673714;de
Leimiswil;4935;0;Madiswil;332;BE;7.7610645;47.1489235;de
Kleindietwil;4936;0;Madiswil;332;BE;7.7911076;47.1462434;de
Melchnau;4917;0;Melchnau;333;BE;7.8568885;47.1832433;de
Obersteckholz;4924;0;Langenthal;329;BE;7.8183500;47.1995134;de
Oeschenbach;4943;0;Oeschenbach;335;BE;7.7471631;47.1017110;de
Reisiswil;4919;0;Reisiswil;336;BE;7.8462909;47.1651274;de
Roggwil BE;4914;0;Roggwil (BE);337;BE;7.8216813;47.2399105;de
Rohrbach;4938;0;Rohrbach;338;BE;7.8122277;47.1328865;de
Rohrbachgraben;4938;2;Rohrbachgraben;339;BE;7.8004957;47.1208444;de
Rütschelen;4933;0;Rütschelen;340;BE;7.7710885;47.1732230;de
Schwarzhäusern;4911;0;Schwarzhäusern;341;BE;7.7700332;47.2551142;de
Bützberg;4922;0;Thunstetten;342;BE;7.7465657;47.2158115;de
Thunstetten;4922;2;Thunstetten;342;BE;7.7539379;47.2038420;de
Ursenbach;4937;0;Ursenbach;344;BE;7.7729101;47.1356847;de
Wynau;4923;0;Wynau;345;BE;7.8134780;47.2577689;de
Bern;3004;0;Bern;351;BE;7.4520107;46.9804872;de
Bern;3005;0;Bern;351;BE;7.4499316;46.9393900;de
Bern;3006;0;Bern;351;BE;7.4712783;46.9458121;de
Bern;3007;0;Bern;351;BE;7.4345289;46.9391933;de
Bern;3008;0;Bern;351;BE;7.4138966;46.9451006;de
Bern;3010;0;Bern;351;BE;7.4241473;46.9469497;de
